timestamp, index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
2026/03/27 11:38:04.888, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:38:04.888, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:38:04.888, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:38:04.888, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:38:04.984, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 14 %
2026/03/27 11:38:04.985, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:38:05.985, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 15890 MiB, 6 %
2026/03/27 11:38:05.985, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 28963 MiB, 100 %
2026/03/27 11:38:05.985, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:38:05.985, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:38:05.985, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
2026/03/27 11:38:05.985, 5, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 2 MiB, 0 %
2026/03/27 11:38:05.985, 6, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 16254 MiB, 0 %
2026/03/27 11:38:05.985, 7, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21460 MiB, 100 %
2026/03/27 11:38:06.985, 0, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 15890 MiB, 6 %
2026/03/27 11:38:06.986, 1, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 28963 MiB, 100 %
2026/03/27 11:38:06.986, 2, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 21991 MiB, 100 %
2026/03/27 11:38:07.187, 3, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17248 MiB, 100 %
2026/03/27 11:38:07.188, 4, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 17260 MiB, 100 %
